"task","id","group","session","phase","piss","thirsty","hungry"
"internal",245,"obese","second",3,13.46154,66.48352,67.03297
"internal",245,"obese","second",4,20.05495,65.65934,65.93407
"internal",245,"obese","second",5,81.59341,8.241758,16.75824
"internal",246,"obese","second",1,8.241758,56.31868,66.48352
"internal",246,"obese","second",2,8.241758,60.43956,67.58242
"internal",246,"obese","second",3,8.241758,58.51648,67.58242
"internal",246,"obese","second",4,14.56044,50,62.36264
"internal",246,"obese","second",5,45.05495,43.40659,50
"internal",247,"obese","second",1,8.241758,34.61538,23.9011
"internal",247,"obese","second",2,8.241758,13.18681,18.13187
"internal",247,"obese","second",3,12.63736,28.2967,56.86813
"internal",247,"obese","second",4,8.241758,20.32967,25
"internal",247,"obese","second",5,43.13187,63.46154,40.38462
"internal",248,"obese","second",1,8.241758,28.57143,66.48352
"internal",248,"obese","second",2,13.18681,8.241758,74.17582
"internal",248,"obese","second",3,15.93407,9.89011,79.94505
"internal",248,"obese","second",4,57.14286,16.75824,87.63736
"internal",248,"obese","second",5,81.04396,8.241758,81.31868
"internal",249,"obese","second",1,8.241758,50,66.75824
"internal",249,"obese","second",2,8.241758,50,68.95604
"internal",249,"obese","second",3,8.241758,8.241758,59.06593
"internal",249,"obese","second",4,59.34066,8.241758,55.21978
"internal",249,"obese","second",5,83.51648,8.241758,40.65934
"internal",250,"obese","second",1,9.89011,54.12088,24.45055
"internal",250,"obese","second",2,8.241758,61.53846,36.26374
"internal",250,"obese","second",3,8.241758,65.65934,31.86813
"internal",250,"obese","second",4,8.241758,75.82418,27.74725
"internal",250,"obese","second",5,10.71429,47.52747,27.74725
"internal",251,"obese","second",1,8.241758,23.62637,10.16484
"internal",251,"obese","second",2,8.241758,10.16484,12.63736
"internal",251,"obese","second",3,14.01099,13.73626,27.74725
"internal",251,"obese","second",4,87.36264,30.21978,28.57143
"internal",251,"obese","second",5,91.75824,18.13187,40.10989
"internal",252,"obese","second",1,9.065934,77.47253,68.13187
"internal",252,"obese","second",2,9.89011,66.48352,56.04396
"internal",252,"obese","second",3,10.43956,58.79121,42.30769
"internal",252,"obese","second",4,37.36264,47.8022,29.67033
"internal",252,"obese","second",5,75.82418,32.96703,23.07692
"internal",253,"obese","second",1,56.59341,63.18681,91.75824
"internal",253,"obese","second",2,68.68132,62.08791,71.97802
"internal",253,"obese","second",3,67.58242,60.43956,10.98901
"internal",253,"obese","second",4,79.94505,74.72527,10.43956
"internal",253,"obese","second",5,91.75824,61.53846,27.1978
"internal",254,"obese","second",1,37.91209,40.10989,63.73626
"internal",254,"obese","second",2,32.14286,47.25275,68.40659
"internal",254,"obese","second",3,22.52747,49.45055,85.98901
"internal",254,"obese","second",4,25,43.13187,89.83516
"internal",254,"obese","second",5,10.43956,50.54945,91.20879
"internal",256,"obese","second",1,50,50,17.58242
"internal",256,"obese","second",2,8.241758,8.241758,11.53846
"internal",256,"obese","second",3,9.065934,8.241758,9.615385
"internal",256,"obese","second",4,50,50,8.241758
"internal",256,"obese","second",5,16.48352,11.26374,8.241758
"internal",258,"obese","second",1,8.241758,50,50
"internal",258,"obese","second",2,8.241758,50,41.75824
"internal",258,"obese","second",3,NA,NA,NA
"internal",258,"obese","second",4,8.241758,18.13187,62.08791
"internal",258,"obese","second",5,8.241758,8.241758,69.78022
"internal",259,"obese","second",1,8.241758,29.3956,49.45055
"internal",259,"obese","second",2,8.241758,19.78022,50
"internal",259,"obese","second",3,8.241758,26.92308,30.49451
"internal",259,"obese","second",4,11.26374,13.73626,20.32967
"internal",259,"obese","second",5,82.14286,8.241758,19.78022
"internal",262,"obese","second",1,8.791209,56.31868,79.94505
"internal",262,"obese","second",2,NA,NA,NA
"internal",262,"obese","second",3,8.241758,35.43956,87.63736
"internal",262,"obese","second",4,8.241758,22.52747,85.98901
"internal",262,"obese","second",5,8.241758,25.27473,86.81319
"internal",263,"obese","second",1,8.241758,76.64835,59.06593
"internal",263,"obese","second",2,8.241758,64.83516,62.91209
"internal",263,"obese","second",3,8.241758,59.34066,62.08791
"internal",263,"obese","second",4,8.241758,56.86813,59.34066
"internal",263,"obese","second",5,14.28571,23.07692,54.3956
"internal",264,"obese","second",1,8.241758,62.91209,73.62637
"internal",264,"obese","second",2,8.516484,69.23077,88.18681
"internal",264,"obese","second",3,8.241758,57.96703,87.91209
"internal",264,"obese","second",4,12.08791,64.83516,82.69231
"internal",264,"obese","second",5,50,62.36264,82.14286
"internal",265,"obese","second",1,29.3956,50,50
"internal",265,"obese","second",2,8.241758,29.67033,26.64835
"internal",265,"obese","second",3,15.10989,43.68132,36.81319
"internal",265,"obese","second",4,15.10989,34.34066,23.9011
"internal",265,"obese","second",5,17.58242,14.28571,35.71429
"internal",266,"obese","second",1,8.241758,8.241758,10.71429
"internal",266,"obese","second",2,8.241758,8.241758,9.340659
"internal",266,"obese","second",3,9.615385,8.241758,8.241758
"internal",266,"obese","second",4,15.65934,8.241758,8.241758
"internal",266,"obese","second",5,89.83516,21.97802,15.93407
"internal",267,"obese","second",1,8.241758,75,15.65934
"internal",267,"obese","second",2,8.241758,74.45055,17.58242
"internal",267,"obese","second",3,68.68132,67.30769,15.65934
"internal",267,"obese","second",4,18.13187,68.40659,10.43956
"internal",267,"obese","second",5,68.95604,77.1978,10.16484
"internal",268,"obese","second",1,NA,NA,NA
"internal",268,"obese","second",2,9.89011,50,50
"internal",268,"obese","second",3,24.45055,25,32.14286
"internal",268,"obese","second",4,41.20879,50,50
"internal",268,"obese","second",5,70.05495,23.35165,38.18681
"internal",269,"obese","second",1,8.241758,72.52747,75.82418
"internal",269,"obese","second",2,8.241758,76.37363,81.86813
"internal",269,"obese","second",3,28.02198,59.34066,82.69231
"internal",269,"obese","second",4,22.52747,65.65934,79.12088
"internal",269,"obese","second",5,31.31868,73.62637,71.42857
"internal",270,"obese","second",1,8.241758,75.54945,75.27473
"internal",270,"obese","second",2,8.241758,68.13187,76.64835
"internal",270,"obese","second",3,8.241758,35.98901,90.93407
"internal",270,"obese","second",4,89.56044,48.07692,91.75824
"internal",270,"obese","second",5,91.75824,48.9011,91.75824
"internal",201,"obese","third",1,37.08791,43.40659,41.75824
"internal",201,"obese","third",2,31.86813,41.75824,37.36264
"internal",201,"obese","third",3,36.53846,36.26374,36.53846
"internal",201,"obese","third",4,34.89011,40.38462,36.53846
"internal",201,"obese","third",5,NA,NA,NA
"internal",202,"obese","third",1,19.50549,57.14286,44.23077
"internal",202,"obese","third",2,18.40659,57.14286,27.74725
"internal",202,"obese","third",3,27.1978,62.36264,53.84615
"internal",202,"obese","third",4,53.2967,67.58242,67.03297
"internal",202,"obese","third",5,57.69231,73.07692,69.23077
"internal",203,"obese","third",1,10.16484,76.0989,65.10989
"internal",203,"obese","third",2,13.73626,68.13187,68.68132
"internal",203,"obese","third",3,27.74725,54.12088,55.49451
"internal",203,"obese","third",4,28.2967,58.24176,53.84615
"internal",203,"obese","third",5,64.01099,21.7033,42.30769
"internal",204,"obese","third",1,14.83516,59.34066,39.01099
"internal",204,"obese","third",2,18.13187,58.24176,24.72527
"internal",204,"obese","third",3,26.37363,43.40659,24.45055
"internal",204,"obese","third",4,50,29.94505,29.3956
"internal",204,"obese","third",5,67.30769,24.17582,34.61538
"internal",205,"obese","third",1,26.92308,37.63736,50
"internal",205,"obese","third",2,11.26374,35.43956,33.79121
"internal",205,"obese","third",3,25,50,50
"internal",205,"obese","third",4,24.45055,29.67033,25.82418
"internal",205,"obese","third",5,31.86813,41.20879,42.85714
"internal",206,"obese","third",1,10.98901,63.18681,59.34066
"internal",206,"obese","third",2,9.065934,18.13187,91.75824
"internal",206,"obese","third",3,13.73626,8.241758,91.75824
"internal",206,"obese","third",4,8.241758,20.05495,91.75824
"internal",206,"obese","third",5,16.20879,8.241758,50
"internal",207,"obese","third",1,8.241758,8.241758,8.241758
"internal",207,"obese","third",2,8.241758,8.241758,8.241758
"internal",207,"obese","third",3,17.03297,8.241758,8.241758
"internal",207,"obese","third",4,21.15385,8.241758,49.72527
"internal",207,"obese","third",5,67.03297,8.241758,8.241758
"internal",208,"obese","third",1,12.36264,25.82418,78.02198
"internal",208,"obese","third",2,17.03297,8.241758,65.65934
"internal",208,"obese","third",3,17.85714,8.241758,28.84615
"internal",208,"obese","third",4,83.79121,8.241758,23.35165
"internal",208,"obese","third",5,NA,NA,NA
"internal",209,"obese","third",1,8.241758,61.26374,31.59341
"internal",209,"obese","third",2,8.241758,53.02198,31.04396
"internal",209,"obese","third",3,8.241758,69.23077,36.26374
"internal",209,"obese","third",4,8.241758,71.15385,39.56044
"internal",209,"obese","third",5,75.54945,91.75824,51.64835
"internal",211,"obese","third",1,8.241758,17.03297,16.75824
"internal",211,"obese","third",2,8.241758,17.03297,13.73626
"internal",211,"obese","third",3,8.241758,12.91209,11.81319
"internal",211,"obese","third",4,8.241758,8.241758,12.08791
"internal",211,"obese","third",5,11.81319,8.241758,8.241758
"internal",212,"obese","third",1,36.81319,43.95604,18.95604
"internal",212,"obese","third",2,NA,NA,NA
"internal",212,"obese","third",3,NA,NA,NA
"internal",212,"obese","third",4,NA,NA,NA
"internal",212,"obese","third",5,NA,NA,NA
"internal",213,"obese","third",1,9.615385,10.71429,9.89011
"internal",213,"obese","third",2,8.241758,8.241758,9.340659
"internal",213,"obese","third",3,10.43956,8.241758,8.241758
"internal",213,"obese","third",4,58.24176,9.340659,9.065934
"internal",213,"obese","third",5,69.23077,11.81319,12.08791
"internal",214,"obese","third",1,8.241758,32.41758,14.83516
"internal",214,"obese","third",2,30.76923,21.97802,25
"internal",214,"obese","third",3,NA,NA,NA
"internal",214,"obese","third",4,50,50,44.50549
"internal",214,"obese","third",5,87.63736,24.17582,30.21978
"internal",215,"obese","third",1,8.241758,8.241758,8.791209
"internal",215,"obese","third",2,8.241758,50,8.241758
"internal",215,"obese","third",3,49.17582,8.241758,8.241758
"internal",215,"obese","third",4,64.56044,27.47253,8.241758
"internal",215,"obese","third",5,75.54945,63.73626,17.58242
"internal",217,"obese","third",1,8.241758,54.12088,54.3956
"internal",217,"obese","third",2,8.241758,53.57143,53.84615
"internal",217,"obese","third",3,22.8022,35.43956,35.16484
"internal",217,"obese","third",4,55.49451,32.96703,26.0989
"internal",217,"obese","third",5,91.75824,53.2967,32.96703
"internal",218,"obese","third",1,13.73626,34.89011,50
"internal",218,"obese","third",2,27.47253,13.18681,21.15385
"internal",218,"obese","third",3,84.06593,12.63736,16.20879
"internal",218,"obese","third",4,38.73626,20.6044,8.241758
"internal",218,"obese","third",5,67.58242,11.53846,9.065934
"internal",220,"obese","third",1,8.241758,31.31868,59.61538
"internal",220,"obese","third",2,8.241758,29.94505,54.94505
"internal",220,"obese","third",3,8.241758,14.83516,35.71429
"internal",220,"obese","third",4,8.241758,37.91209,37.91209
"internal",220,"obese","third",5,8.241758,23.62637,42.85714
"internal",221,"obese","third",1,14.28571,58.79121,32.69231
"internal",221,"obese","third",2,12.91209,28.2967,28.02198
"internal",221,"obese","third",3,13.46154,15.93407,19.23077
"internal",221,"obese","third",4,17.85714,19.50549,17.85714
"internal",221,"obese","third",5,26.37363,22.8022,30.21978
"internal",224,"obese","third",1,13.18681,80.49451,65.65934
"internal",224,"obese","third",2,10.43956,64.01099,57.96703
"internal",224,"obese","third",3,22.8022,53.2967,67.58242
"internal",224,"obese","third",4,76.0989,45.87912,57.41758
"internal",224,"obese","third",5,91.75824,38.46154,29.3956
"internal",225,"obese","third",1,8.241758,73.35165,35.43956
"internal",225,"obese","third",2,10.43956,68.95604,44.50549
"internal",225,"obese","third",3,22.25275,50.54945,44.50549
"internal",225,"obese","third",4,25.82418,42.30769,34.89011
"internal",225,"obese","third",5,91.75824,8.241758,20.87912
"internal",226,"obese","third",1,14.28571,54.12088,53.84615
"internal",226,"obese","third",2,8.241758,29.67033,50
"internal",226,"obese","third",3,8.241758,18.68132,22.8022
"internal",226,"obese","third",4,11.81319,13.73626,13.73626
"internal",226,"obese","third",5,24.17582,20.87912,18.68132
"internal",227,"obese","third",1,9.89011,46.15385,45.87912
"internal",227,"obese","third",2,14.83516,45.6044,54.12088
"internal",227,"obese","third",3,32.14286,42.58242,55.76923
"internal",227,"obese","third",4,58.79121,37.91209,61.53846
"internal",227,"obese","third",5,70.05495,31.59341,71.15385
"internal",228,"obese","third",1,8.241758,91.75824,8.241758
"internal",228,"obese","third",2,8.241758,91.75824,8.241758
"internal",228,"obese","third",3,8.241758,72.8022,8.241758
"internal",228,"obese","third",4,8.241758,86.26374,10.43956
"internal",228,"obese","third",5,29.3956,85.16484,50
"internal",229,"obese","third",1,17.58242,56.31868,50
"internal",229,"obese","third",2,12.63736,53.84615,78.57143
"internal",229,"obese","third",3,8.516484,54.12088,88.18681
"internal",229,"obese","third",4,NA,NA,NA
"internal",229,"obese","third",5,79.12088,56.31868,88.73626
"internal",230,"obese","third",1,8.516484,59.34066,15.10989
"internal",230,"obese","third",2,8.241758,56.59341,13.46154
"internal",230,"obese","third",3,34.06593,50,8.791209
"internal",230,"obese","third",4,68.68132,45.87912,8.241758
"internal",230,"obese","third",5,91.75824,17.30769,8.241758
"internal",231,"obese","third",1,21.7033,55.76923,8.241758
"internal",231,"obese","third",2,13.73626,58.24176,12.08791
"internal",231,"obese","third",3,NA,NA,NA
"internal",231,"obese","third",4,30.76923,50,23.35165
"internal",231,"obese","third",5,50,48.07692,23.62637
"internal",232,"obese","third",1,NA,NA,NA
"internal",232,"obese","third",2,NA,NA,NA
"internal",232,"obese","third",3,28.2967,39.83516,39.56044
"internal",232,"obese","third",4,55.49451,23.62637,8.241758
"internal",232,"obese","third",5,82.96703,39.01099,65.93407
"internal",234,"obese","third",1,11.53846,30.21978,29.3956
"internal",234,"obese","third",2,10.16484,9.89011,18.13187
"internal",234,"obese","third",3,17.03297,11.53846,27.47253
"internal",234,"obese","third",4,54.12088,11.53846,14.01099
"internal",234,"obese","third",5,75,9.615385,33.24176
"internal",235,"obese","third",1,24.45055,34.06593,29.12088
"internal",235,"obese","third",2,10.43956,14.28571,13.46154
"internal",235,"obese","third",3,8.241758,8.241758,11.53846
"internal",235,"obese","third",4,9.065934,10.98901,13.18681
"internal",235,"obese","third",5,30.76923,26.0989,60.71429
"internal",236,"obese","third",1,8.241758,8.241758,8.241758
"internal",236,"obese","third",2,13.73626,8.241758,8.241758
"internal",236,"obese","third",3,8.241758,8.241758,18.40659
"internal",236,"obese","third",4,67.03297,18.95604,22.8022
"internal",236,"obese","third",5,29.94505,8.241758,18.13187
"internal",237,"obese","third",1,13.46154,56.86813,50.54945
"internal",237,"obese","third",2,17.58242,49.72527,39.01099
"internal",237,"obese","third",3,18.40659,43.13187,67.85714
"internal",237,"obese","third",4,22.52747,32.96703,63.18681
"internal",237,"obese","third",5,21.97802,31.86813,78.57143
"internal",238,"obese","third",1,9.615385,19.78022,25.82418
"internal",238,"obese","third",2,9.065934,15.38462,14.28571
"internal",238,"obese","third",3,12.08791,24.17582,13.46154
"internal",238,"obese","third",4,76.0989,25.27473,50
"internal",238,"obese","third",5,91.75824,24.72527,19.23077
"internal",239,"obese","third",1,8.241758,57.69231,23.62637
"internal",239,"obese","third",2,8.241758,38.18681,28.2967
"internal",239,"obese","third",3,NA,NA,NA
"internal",239,"obese","third",4,8.241758,8.241758,16.20879
"internal",239,"obese","third",5,8.241758,8.241758,8.241758
"internal",241,"obese","third",1,11.26374,53.2967,58.24176
"internal",241,"obese","third",2,12.63736,55.49451,57.69231
"internal",241,"obese","third",3,13.73626,52.1978,54.67033
"internal",241,"obese","third",4,46.15385,50,50
"internal",241,"obese","third",5,78.57143,18.68132,45.6044
"internal",242,"obese","third",1,9.065934,50,26.92308
"internal",242,"obese","third",2,10.43956,56.59341,26.64835
"internal",242,"obese","third",3,14.56044,40.10989,30.49451
"internal",242,"obese","third",4,29.67033,63.18681,57.14286
"internal",242,"obese","third",5,44.50549,42.03297,57.41758
"internal",244,"obese","third",1,8.241758,23.9011,15.65934
"internal",244,"obese","third",2,8.241758,10.71429,16.48352
"internal",244,"obese","third",3,15.10989,12.08791,17.58242
"internal",244,"obese","third",4,54.94505,18.68132,18.95604
"internal",244,"obese","third",5,82.96703,8.241758,48.9011
"internal",245,"obese","third",1,NA,NA,NA
"internal",245,"obese","third",2,NA,NA,NA
"internal",245,"obese","third",3,NA,NA,NA
"internal",245,"obese","third",4,NA,NA,NA
"internal",245,"obese","third",5,NA,NA,NA
"internal",246,"obese","third",1,8.241758,81.59341,67.03297
"internal",246,"obese","third",2,8.241758,77.74725,68.68132
"internal",246,"obese","third",3,8.241758,65.10989,62.63736
"internal",246,"obese","third",4,8.241758,64.01099,64.28571
"internal",246,"obese","third",5,17.85714,55.21978,57.69231
"internal",248,"obese","third",1,9.340659,53.57143,64.28571
"internal",248,"obese","third",2,12.08791,53.57143,66.48352
"internal",248,"obese","third",3,20.32967,57.69231,84.61538
"internal",248,"obese","third",4,33.51648,58.24176,87.36264
"internal",248,"obese","third",5,54.67033,53.02198,84.34066
"internal",249,"obese","third",1,NA,NA,NA
"internal",249,"obese","third",2,NA,NA,NA
"internal",249,"obese","third",3,NA,NA,NA
"internal",249,"obese","third",4,NA,NA,NA
"internal",249,"obese","third",5,NA,NA,NA
"internal",250,"obese","third",1,9.89011,63.46154,30.49451
"internal",250,"obese","third",2,8.241758,59.61538,37.36264
"internal",250,"obese","third",3,8.241758,47.8022,57.96703
"internal",250,"obese","third",4,8.241758,55.49451,63.18681
"internal",250,"obese","third",5,9.065934,71.7033,70.87912
"internal",251,"obese","third",1,8.241758,85.16484,91.75824
"internal",251,"obese","third",2,8.241758,82.14286,91.75824
"internal",251,"obese","third",3,13.46154,77.74725,88.46154
"internal",251,"obese","third",4,32.14286,76.64835,82.41758
"internal",251,"obese","third",5,91.75824,8.241758,25
"internal",252,"obese","third",1,8.241758,77.47253,84.89011
"internal",252,"obese","third",2,8.241758,77.47253,84.06593
"internal",252,"obese","third",3,18.40659,42.58242,64.83516
"internal",252,"obese","third",4,23.62637,48.9011,59.06593
"internal",252,"obese","third",5,75.54945,37.36264,56.04396
"internal",253,"obese","third",1,24.45055,49.72527,39.56044
"internal",253,"obese","third",2,50,57.14286,18.13187
"internal",253,"obese","third",3,59.06593,64.01099,23.9011
"internal",253,"obese","third",4,85.16484,62.63736,28.57143
"internal",253,"obese","third",5,91.75824,58.24176,54.67033
"internal",254,"obese","third",1,8.241758,39.28571,75.27473
"internal",254,"obese","third",2,8.241758,32.41758,75.54945
"internal",254,"obese","third",3,8.241758,44.23077,82.41758
"internal",254,"obese","third",4,8.241758,35.43956,85.43956
"internal",254,"obese","third",5,8.241758,33.24176,85.98901
"internal",256,"obese","third",1,50,50,56.04396
"internal",256,"obese","third",2,39.56044,29.94505,50
"internal",256,"obese","third",3,28.2967,27.47253,31.31868
"internal",256,"obese","third",4,28.02198,23.62637,23.07692
"internal",256,"obese","third",5,35.71429,50,50
"internal",259,"obese","third",1,8.241758,15.65934,28.2967
"internal",259,"obese","third",2,8.241758,18.68132,18.40659
"internal",259,"obese","third",3,8.241758,14.01099,18.13187
"internal",259,"obese","third",4,8.241758,14.56044,15.38462
"internal",259,"obese","third",5,69.78022,8.241758,18.95604
"internal",262,"obese","third",1,8.791209,56.86813,81.04396
"internal",262,"obese","third",2,8.241758,54.94505,86.26374
"internal",262,"obese","third",3,8.241758,50,90.10989
"internal",262,"obese","third",4,21.97802,54.12088,88.46154
"internal",262,"obese","third",5,29.12088,54.67033,91.75824
"internal",264,"obese","third",1,27.1978,44.50549,50
"internal",264,"obese","third",2,31.04396,31.86813,61.53846
"internal",264,"obese","third",3,43.95604,21.7033,56.86813
"internal",264,"obese","third",4,35.98901,39.28571,57.41758
"internal",264,"obese","third",5,75.82418,53.2967,64.01099
"internal",265,"obese","third",1,10.98901,52.47253,27.74725
"internal",265,"obese","third",2,12.91209,54.67033,23.07692
"internal",265,"obese","third",3,14.83516,55.21978,32.69231
"internal",265,"obese","third",4,13.18681,37.63736,8.791209
"internal",265,"obese","third",5,12.91209,41.20879,39.56044
"internal",266,"obese","third",1,8.241758,8.241758,15.38462
"internal",266,"obese","third",2,8.241758,8.241758,12.08791
"internal",266,"obese","third",3,18.40659,8.791209,14.83516
"internal",266,"obese","third",4,50,8.241758,16.20879
"internal",266,"obese","third",5,91.75824,8.241758,17.03297
"internal",268,"obese","third",1,27.1978,62.36264,44.23077
"internal",268,"obese","third",2,36.81319,50,22.8022
"internal",268,"obese","third",3,29.94505,24.72527,26.0989
"internal",268,"obese","third",4,46.7033,15.38462,18.68132
"internal",268,"obese","third",5,70.87912,30.76923,29.3956
"internal",269,"obese","third",1,8.241758,69.23077,81.86813
"internal",269,"obese","third",2,8.241758,75.27473,86.53846
"internal",269,"obese","third",3,10.16484,71.97802,87.08791
"internal",269,"obese","third",4,10.71429,76.37363,85.98901
"internal",269,"obese","third",5,16.48352,64.28571,87.36264
"internal",270,"obese","third",1,8.241758,19.50549,73.35165
"internal",270,"obese","third",2,8.241758,14.01099,84.61538
"internal",270,"obese","third",3,8.241758,15.38462,89.83516
"internal",270,"obese","third",4,31.86813,37.08791,80.49451
"internal",270,"obese","third",5,13.46154,23.07692,86.53846
