ID;CDS1;CDS2;CDS3;CDS4;CDS5;CDS6;CDS7;CDS8;CDS9;CDS10;CDS11;CDS12
Sub - 01;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 02;2;1;1;2;1;1;4;1;2;1;1;5
Sub - 03;4;2;3;4;4;4;5;3;4;2;3;4
Sub - 04;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 05;1;1;;;1;1;1;1;1;1;1;1
Sub - 06;1;1;;;1;1;1;1;1;1;1;1
Sub - 07;2;1;1;2;2;2;3;1;4;1;1;3
Sub - 08;4;2;1;2;3;1;2;3;4;3;2;5
Sub - 09;1;1;1;;1;1;1;1;1;1;1;1
Sub - 10;3;2;1;;5;2;5;3;2;2;3;5
Sub - 11;1;1;;;1;1;1;1;1;1;1;1
Sub - 12;1;1;;2;2;1;2;1;1;2;1;4
Sub - 13;2;1;1;2;2;1;1;1;2;1;1;5
Sub - 14;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 15;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 16;3;1;;2;1;1;1;1;1;1;1;5
Sub - 17;1;1;1;2;1;1;1;1;1;1;1;1
Sub - 18;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 19;1;1;1;2;1;1;1;1;3;1;1;5
Sub - 20;2;;1;;1;1;1;2;3;1;1;4
Sub - 21;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 22;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 23;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 24;1;1;;;1;1;1;1;1;1;1;1
Sub - 25;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 26;1;1;;1;1;1;1;1;1;1;1;3
Sub - 27;1;1;1;2;2;1;1;2;2;1;1;3
Sub - 28;1;1;1;2;2;3;4;1;2;1;1;4
Sub - 29;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 30;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 31;2;1;1;2;3;1;1;1;3;1;1;3
Sub - 32;5;2;2;;4;3;5;4;3;2;2;5
Sub - 33;1;1;;;;;;;;;;
Sub - 34;1;1;1;;1;1;1;1;1;1;1;1
Sub - 35;4;2;1;;2;3;4;2;3;1;1;5
Sub - 36;3;1;1;2;2;3;2;4;3;3;1;5
Sub - 37;1;1;1;;1;1;1;1;1;1;1;1
Sub - 38;1;1;1;3;1;1;1;1;1;1;1;1
Sub - 39;2;1;1;2;3;1;5;1;2;1;1;5
Sub - 40;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 41;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 42;1;1;;;1;1;1;1;1;1;1;3
Sub - 43;1;1;1;1;1;1;1;1;1;1;1;3
Sub - 44;1;1;1;;1;1;2;1;1;1;1;3
Sub - 45;3;2;1;2;3;2;4;3;4;1;2;4
Sub - 46;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 47;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 48;1;1;1;;1;1;1;1;1;1;1;1
Sub - 49;4;1;1;2;2;3;4;2;2;1;3;4
Sub - 50;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 51;1;1;;;2;1;1;1;1;1;1;5
Sub - 52;5;2;2;;4;5;5;5;5;2;2;5
Sub - 53;1;1;1;;1;1;1;1;1;1;1;3
Sub - 54;1;1;;1;1;1;1;1;1;1;1;3
Sub - 55;5;3;2;4;3;3;4;4;4;2;3;5
Sub - 56;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 57;4;1;3;;4;4;5;3;4;4;2;3
Sub - 58;1;1;1;;1;1;1;1;1;1;1;1
Sub - 59;1;1;1;1;1;1;2;1;1;1;1;3
Sub - 60;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 61;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 62;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 63;3;1;1;2;2;1;1;2;3;1;1;4
Sub - 64;3;1;1;2;2;1;1;1;1;1;1;4
Sub - 65;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 66;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 67;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 68;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 69;3;1;1;2;2;2;4;1;3;1;2;4
Sub - 70;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 71;2;1;1;;2;2;5;2;3;1;1;4
Sub - 72;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 73;1;1;1;;1;1;1;1;1;1;1;1
Sub - 74;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 75;1;1;1;1;1;1;1;1;1;1;1;3
Sub - 76;1;1;1;;1;1;1;1;1;1;1;1
Sub - 77;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 78;1;1;1;;1;1;1;1;1;1;1;1
Sub - 79;3;1;1;;2;3;5;3;2;1;1;4
Sub - 80;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 81;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 82;5;5;5;4;5;5;5;5;5;5;5;5
Sub - 83;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 84;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 85;8;7;3;3;3;2;4;4;4;4;4;4
Sub - 86;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 87;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 88;1;1;5;1;1;1;3;1;1;1;1;4
Sub - 89;4;2;3;3;2;1;1;1;1;1;1;4
Sub - 90;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 91;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 92;3;2;6;2;1;1;2;1;2;1;1;3
Sub - 93;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 94;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 95;6;5;1;1;2;2;4;1;3;1;1;4
Sub - 96;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 97;1;1;1;4;1;1;1;1;1;1;1;1
Sub - 98;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 99;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 100;3;1;3;1;1;1;2;1;1;1;1;2
Sub - 101;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 102;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 103;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 104;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 105;2;1;2;1;1;1;1;1;1;1;1;3
Sub - 106;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 107;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 108;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 109;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 110;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 111;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 112;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 113;1;3;3;1;2;1;2;1;4;1;2;4
Sub - 114;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 115;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 116;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 117;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 118;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 119;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 120;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 121;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 122;1;2;1;3;4;2;5;3;2;4;2;5
Sub - 123;1;3;1;3;5;5;5;3;5;1;4;5
Sub - 124;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 125;1;3;1;4;5;5;5;5;5;3;3;5
Sub - 126;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 127;2;1;1;1;1;1;1;1;3;1;1;5
Sub - 128;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 129;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 130;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 131;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 132;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 133;1;3;1;1;4;2;5;3;4;4;3;5
Sub - 134;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 135;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 136;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 137;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 138;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 139;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 141;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 142;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 143;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 144;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 145;1;1;1;1;1;1;1;1;1;1;1;2
Sub - 146;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 147;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 148;2;3;4;1;2;1;1;1;2;1;1;4
Sub - 149;7;3;1;3;3;4;4;5;2;1;1;5
Sub - 150;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 151;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 152;1;1;1;1;1;1;1;1;1;1;1;3
Sub - 153;1;1;5;2;1;1;5;4;5;1;2;5
Sub - 154;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 155;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 156;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 157;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 158;1;1;1;1;1;1;1;1;1;1;1;1
